                        home_team                   away_team                    date  initial_odds_home  initial_draw_odds  initial_odds_away  initial_difference  actual_odds_home  draw_odds_actual  actual_odds_away  actual_difference
87                 Herrestads AIF                 IK Gauthiod     09/08/2024 (Friday)               1.20               5.25               8.75                7.55              1.25              5.50              7.75               6.50
88                    CF La Nucia                    Alcoyano     09/08/2024 (Friday)               4.30               3.70               1.71                2.59             10.50              4.60              1.32               9.18
89                   Al-Wehdat SC                   AL-Sareeh     09/08/2024 (Friday)               1.28               5.00               9.00                7.72              1.28              5.25              9.50               8.22
90                    Galatasaray                   Hatayspor     09/08/2024 (Friday)               1.20               6.50              10.00                8.80              1.24              6.50             11.00               9.76
91               Stjarnan Women's               Valur Women's     09/08/2024 (Friday)               7.25               6.25               1.28                5.97              8.75              6.00              1.26               7.49
92                 Arda Kardzhali         FC Hebar Pazardzhik     09/08/2024 (Friday)               1.45               3.90               7.25                5.80              1.32              4.90             10.00               8.68
93                     Derry City                     Dundalk     09/08/2024 (Friday)               1.37               4.20               8.00                6.63              1.33              4.70              9.00               7.67
94                          Genoa          A.C. Reggiana 1919     09/08/2024 (Friday)               1.36               4.50               7.75                6.39              1.34              4.70              8.50               7.16
95     Sporting Clube de Portugal                     Rio Ave     09/08/2024 (Friday)               1.16               6.50              14.50               13.34              1.15              8.00             15.00              13.85
96              Club Always Ready                Club Guabira   10/08/2024 (Saturday)               1.54               3.90               5.50                3.96              1.28              5.00             10.00               8.72
97             Cashmere Technical  Universities Of Canterbury   10/08/2024 (Saturday)               1.05              13.00              17.00               15.95              1.03             13.00             24.00              22.97
98                  Auckland City      Hamilton Wanderers AFC   10/08/2024 (Saturday)               1.07              11.00              17.00               15.93              1.08             10.00             17.00              15.92
99     Wellington Phoenix Reserve                    Stop Out   10/08/2024 (Saturday)               1.24               6.00               9.50                8.26              1.24              6.00              9.00               7.76
100           Mazatlan FC Women's           FC Juarez Women's   10/08/2024 (Saturday)               8.00               6.00               1.25                6.75              9.00              7.00              1.20               7.80
101    White City Beograd Reserve       Croydon Kings Reserve   10/08/2024 (Saturday)               8.75               6.75               1.14                7.61              9.00              7.00              1.15               7.85
102         Adamstown Rosebuds FC           Newcastle Olympic   10/08/2024 (Saturday)               6.75               5.50               1.30                5.45             13.50             10.50              1.09              12.41
103                Lambton Jaffas          New Lambton Eagles   10/08/2024 (Saturday)               1.09              10.00              14.50               13.41              1.07             10.50             19.00              17.93
104       Essendon Royals Women's    Bentleigh Greens Women's   10/08/2024 (Saturday)               1.42               5.00               5.25                3.83              1.12              7.25             17.00              15.88
105                       Yoogali            O'Connor Knights   10/08/2024 (Saturday)              19.00              11.00               1.05               17.95             22.00             11.50              1.05              20.95
106             Riverside Olympic           Glenorchy Knights   10/08/2024 (Saturday)              25.00              14.50               1.02               23.98             24.00             14.50              1.03              22.97
107               Logan Lightning   Moreton City Excelsior II   10/08/2024 (Saturday)               1.18               7.00               7.00                5.82              1.06              9.00             12.00              10.94
108   Moreton City Excelsior(U23)        Peninsula Power(U23)   10/08/2024 (Saturday)               1.13               8.00              13.00               11.87              1.14              7.50             12.50              11.36
109                    North Pine                Acacia Ridge   10/08/2024 (Saturday)               1.14               6.25              10.00                8.86              1.15              6.25              9.50               8.35
110                Redcliffe PCYC              Western Spirit   10/08/2024 (Saturday)               1.07               7.50              15.00               13.93              1.07              7.75             14.50              13.43
111            Redlands United FC          Gold Coast Knights   10/08/2024 (Saturday)              16.00               9.50               1.08               14.92             10.00              7.25              1.18               8.82
112           Queensland Lions FC             Brisbane Wolves   10/08/2024 (Saturday)               1.30               6.00               6.00                4.70              1.14              8.00             11.50              10.36
113                Team Thoren FF                   Gottne IF   10/08/2024 (Saturday)               1.15               6.50               8.75                7.60              1.12              7.00             10.50               9.38
114              Shanghai Shenhua              Nantong Zhiyun   10/08/2024 (Saturday)               1.07               9.50              20.00               18.93              1.10              9.50             19.00              17.90
115                  Bahlinger SC                Goppinger SV   10/08/2024 (Saturday)               1.07               7.75              15.00               13.93              1.80              3.80              3.20               1.40
116          Jakobstads Bollklubb                      OPS-jp   10/08/2024 (Saturday)               1.31               4.90               6.00                4.69              1.19              5.75              8.50               7.31
117            Vastra Frolunda IF                 Hittarps IK   10/08/2024 (Saturday)               1.10               7.25              10.50                9.40              1.10              7.00             11.50              10.40
118                     Lorenskog           Kristiansund BK B   10/08/2024 (Saturday)               1.15               7.25               7.75                6.60              1.14              6.75              8.75               7.61
119                     Halmstads                    Malmo FF   10/08/2024 (Saturday)               8.50               5.50               1.27                7.23              9.50              5.75              1.28               8.22
120                         JIPPO        Mikkelin Palloilijat   10/08/2024 (Saturday)               1.30               4.90               8.25                6.95              1.26              5.25             10.00               8.74
121         Nordsjaelland Women's          Kolding BK Women's   10/08/2024 (Saturday)               1.13               7.50              15.00               13.87              1.14              7.00             14.50              13.36
122             Siarka Tarnobrzeg             Lewart Lubartow   10/08/2024 (Saturday)               1.14               6.75               8.75                7.61              1.17              6.25              8.25               7.08
123                  Sprint-Jeloy                     Elverum   10/08/2024 (Saturday)               7.75               7.25               1.15                6.60              9.00              7.00              1.13               7.87
124   FC Stockholm Internazionale                    Pitea IF   10/08/2024 (Saturday)               1.35               5.00               6.25                4.90              1.14              7.50             13.50              12.36
125               Glasgow Rangers               Motherwell FC   10/08/2024 (Saturday)               1.11               8.75              14.00               12.89              1.17              6.75             12.00              10.83
126                Falkenbergs FF                 Tvaakers IF   10/08/2024 (Saturday)               1.32               4.50               8.50                7.18              1.30              4.80              9.50               8.20
127           Feyenoord Rotterdam                   Willem II   10/08/2024 (Saturday)               1.06              10.50              24.00               22.94              1.12              8.75             17.00              15.88
128                  Vaprus Parnu             Levadia Tallinn   10/08/2024 (Saturday)              10.00               4.70               1.27                8.73             11.00              5.00              1.26               9.74
129             Red Bull Salzburg          FC Blau Weiss Linz   10/08/2024 (Saturday)               1.19               6.25              11.50               10.31              1.22              6.00             10.00               8.78
